check,status,detail
37_SelectionChain::headers,pass,"['strategy', 'source_model_estimand', 'update_estimator', 'primary_or_required_comparator', 'update_alpha', 'update_beta', 'n', 'weighted_n', 'events', 'event_rate', 'predicted_mean', 'oe_ratio', 'calibration_intercept', 'calibration_joint_intercept', 'calibration_slope', 'auroc', 'auprc', 'brier', 'brier_skill_score', 'grouped_absolute_calibration_error_10q']"
37_SelectionChain::all_values,pass,6 rows
37_SelectionChain::filter_navigation_present,pass,freeze=A2; auto_filter=A1:T7; table_filters=0; freeze panes are an advisory UI feature
37_SelectionChain::header_style,pass,bold solid-fill headers
38_MainWorkload::dimensions,pass,4x22
38_MainWorkload::headers,pass,"['threshold_percent', 'alerts_estimate', 'alerts_ci_lower', 'alerts_ci_upper', 'alerts_per_1000_estimate', 'alerts_per_1000_ci_lower', 'alerts_per_1000_ci_upper', 'true_positives_per_1000_estimate', 'true_positives_per_1000_ci_lower', 'true_positives_per_1000_ci_upper', 'false_positives_per_1000_estimate', 'false_positives_per_1000_ci_lower', 'false_positives_per_1000_ci_upper', 'positive_predictive_value_estimate', 'positive_predictive_value_ci_lower', 'positive_predictive_value_ci_upper', 'absolute_net_benefit_estimate', 'absolute_net_benefit_ci_lower', 'absolute_net_benefit_ci_upper', 'incremental_net_benefit_vs_better_default_estimate', 'incremental_net_benefit_vs_better_default_ci_lower', 'incremental_net_benefit_vs_better_default_ci_upper']"
38_MainWorkload::all_values,pass,3 rows
38_MainWorkload::filter_navigation_present,pass,freeze=A2; auto_filter=A1:V4; table_filters=0; freeze panes are an advisory UI feature
38_MainWorkload::header_style,pass,bold solid-fill headers
38_UpdateMNAR::dimensions,pass,8x57
38_UpdateMNAR::headers,pass,"['stage_varied', 'estimator_family', 'reference_type', 'is_canonical', 'odds_multiplier', 'log_odds_shift', 'interpretation', 'source_eligible_n', 'update_eligible_n', 'target_eligible_n', 'source_expected_events', 'update_expected_events', 'target_expected_events', 'update_alpha', 'update_beta', 'target_events', 'target_event_rate', 'target_predicted_mean', 'target_oe_ratio', 'target_calibration_intercept', 'target_calibration_joint_intercept', 'target_calibration_slope', 'target_auroc', 'target_auprc', 'target_brier', 'target_brier_skill_score', 'target_grouped_absolute_calibration_error_10q', 'threshold_5_alerts', 'threshold_5_alerts_per_1000', 'threshold_5_true_positives_per_1000', 'threshold_5_false_positives_per_1000', 'threshold_5_sensitivity', 'threshold_5_positive_predictive_value', 'threshold_5_false_positives_per_true_positive', 'threshold_5_absolute_net_benefit', 'threshold_5_treat_all_net_benefit', 'threshold_5_incremental_net_benefit_vs_better_default', 'threshold_10_alerts', 'threshold_10_alerts_per_1000', 'threshold_10_true_positives_per_1000', 'threshold_10_false_positives_per_1000', 'threshold_10_sensitivity', 'threshold_10_positive_predictive_value', 'threshold_10_false_positives_per_true_positive', 'threshold_10_absolute_net_benefit', 'threshold_10_treat_all_net_benefit', 'threshold_10_incremental_net_benefit_vs_better_default', 'threshold_20_alerts', 'threshold_20_alerts_per_1000', 'threshold_20_true_positives_per_1000', 'threshold_20_false_positives_per_1000', 'threshold_20_sensitivity', 'threshold_20_positive_predictive_value', 'threshold_20_false_positives_per_true_positive', 'threshold_20_absolute_net_benefit', 'threshold_20_treat_all_net_benefit', 'threshold_20_incremental_net_benefit_vs_better_default']"
38_UpdateMNAR::all_values,pass,7 rows
38_UpdateMNAR::filter_navigation_present,pass,freeze=A2; auto_filter=A1:BE8; table_filters=0; freeze panes are an advisory UI feature
38_UpdateMNAR::header_style,pass,bold solid-fill headers
39_MetricMap::dimensions,pass,11x4
39_MetricMap::headers,pass,"['content', 'main_location', 'supplement_location', 'unique_numeric_source']"
39_MetricMap::all_values,pass,10 rows
39_MetricMap::filter_navigation_present,pass,freeze=A2; auto_filter=A1:D11; table_filters=0; freeze panes are an advisory UI feature
39_MetricMap::header_style,pass,bold solid-fill headers
40_TargetMNAR::dimensions,pass,8x57
40_TargetMNAR::headers,pass,"['stage_varied', 'estimator_family', 'reference_type', 'is_canonical', 'odds_multiplier', 'log_odds_shift', 'interpretation', 'source_eligible_n', 'update_eligible_n', 'target_eligible_n', 'source_expected_events', 'update_expected_events', 'target_expected_events', 'update_alpha', 'update_beta', 'target_events', 'target_event_rate', 'target_predicted_mean', 'target_oe_ratio', 'target_calibration_intercept', 'target_calibration_joint_intercept', 'target_calibration_slope', 'target_auroc', 'target_auprc', 'target_brier', 'target_brier_skill_score', 'target_grouped_absolute_calibration_error_10q', 'threshold_5_alerts', 'threshold_5_alerts_per_1000', 'threshold_5_true_positives_per_1000', 'threshold_5_false_positives_per_1000', 'threshold_5_sensitivity', 'threshold_5_positive_predictive_value', 'threshold_5_false_positives_per_true_positive', 'threshold_5_absolute_net_benefit', 'threshold_5_treat_all_net_benefit', 'threshold_5_incremental_net_benefit_vs_better_default', 'threshold_10_alerts', 'threshold_10_alerts_per_1000', 'threshold_10_true_positives_per_1000', 'threshold_10_false_positives_per_1000', 'threshold_10_sensitivity', 'threshold_10_positive_predictive_value', 'threshold_10_false_positives_per_true_positive', 'threshold_10_absolute_net_benefit', 'threshold_10_treat_all_net_benefit', 'threshold_10_incremental_net_benefit_vs_better_default', 'threshold_20_alerts', 'threshold_20_alerts_per_1000', 'threshold_20_true_positives_per_1000', 'threshold_20_false_positives_per_1000', 'threshold_20_sensitivity', 'threshold_20_positive_predictive_value', 'threshold_20_false_positives_per_true_positive', 'threshold_20_absolute_net_benefit', 'threshold_20_treat_all_net_benefit', 'threshold_20_incremental_net_benefit_vs_better_default']"
40_TargetMNAR::all_values,pass,7 rows
40_TargetMNAR::filter_navigation_present,pass,freeze=A2; auto_filter=A1:BE8; table_filters=0; freeze panes are an advisory UI feature
40_TargetMNAR::header_style,pass,bold solid-fill headers
41_TargetBounds::dimensions,pass,3x49
41_TargetBounds::headers,pass,"['bound_scenario', 'unobserved_outcome_value', 'eligible_n', 'observed_n', 'unobserved_n', 'n', 'weighted_n', 'events', 'event_rate', 'predicted_mean', 'oe_ratio', 'calibration_intercept', 'calibration_joint_intercept', 'calibration_slope', 'auroc', 'auprc', 'brier', 'brier_skill_score', 'grouped_absolute_calibration_error_10q', 'threshold_5_alerts', 'threshold_5_alerts_per_1000', 'threshold_5_true_positives_per_1000', 'threshold_5_false_positives_per_1000', 'threshold_5_sensitivity', 'threshold_5_positive_predictive_value', 'threshold_5_false_positives_per_true_positive', 'threshold_5_absolute_net_benefit', 'threshold_5_treat_all_net_benefit', 'threshold_5_incremental_net_benefit_vs_better_default', 'threshold_10_alerts', 'threshold_10_alerts_per_1000', 'threshold_10_true_positives_per_1000', 'threshold_10_false_positives_per_1000', 'threshold_10_sensitivity', 'threshold_10_positive_predictive_value', 'threshold_10_false_positives_per_true_positive', 'threshold_10_absolute_net_benefit', 'threshold_10_treat_all_net_benefit', 'threshold_10_incremental_net_benefit_vs_better_default', 'threshold_20_alerts', 'threshold_20_alerts_per_1000', 'threshold_20_true_positives_per_1000', 'threshold_20_false_positives_per_1000', 'threshold_20_sensitivity', 'threshold_20_positive_predictive_value', 'threshold_20_false_positives_per_true_positive', 'threshold_20_absolute_net_benefit', 'threshold_20_treat_all_net_benefit', 'threshold_20_incremental_net_benefit_vs_better_default']"
41_TargetBounds::all_values,pass,2 rows
41_TargetBounds::filter_navigation_present,pass,freeze=A2; auto_filter=A1:AW3; table_filters=0; freeze panes are an advisory UI feature
41_TargetBounds::header_style,pass,bold solid-fill headers
42_MNARAnchors::dimensions,pass,7x17
42_MNARAnchors::headers,pass,"['stage_varied', 'estimator_family', 'reference_type', 'is_canonical', 'odds_multiplier', 'log_odds_shift', 'source_expected_events', 'update_expected_events', 'update_alpha', 'update_beta', 'target_expected_events', 'target_oe_ratio', 'target_calibration_slope', 'target_auroc', 'target_brier', 'threshold_10_alerts', 'anchor_note']"
42_MNARAnchors::all_values,pass,6 rows
42_MNARAnchors::filter_navigation_present,pass,freeze=A2; auto_filter=A1:Q7; table_filters=0; freeze panes are an advisory UI feature
42_MNARAnchors::header_style,pass,bold solid-fill headers
43_SourceMNAR::dimensions,pass,8x57
43_SourceMNAR::headers,pass,"['stage_varied', 'estimator_family', 'reference_type', 'is_canonical', 'odds_multiplier', 'log_odds_shift', 'interpretation', 'source_eligible_n', 'update_eligible_n', 'target_eligible_n', 'source_expected_events', 'update_expected_events', 'target_expected_events', 'update_alpha', 'update_beta', 'target_events', 'target_event_rate', 'target_predicted_mean', 'target_oe_ratio', 'target_calibration_intercept', 'target_calibration_joint_intercept', 'target_calibration_slope', 'target_auroc', 'target_auprc', 'target_brier', 'target_brier_skill_score', 'target_grouped_absolute_calibration_error_10q', 'threshold_5_alerts', 'threshold_5_alerts_per_1000', 'threshold_5_true_positives_per_1000', 'threshold_5_false_positives_per_1000', 'threshold_5_sensitivity', 'threshold_5_positive_predictive_value', 'threshold_5_false_positives_per_true_positive', 'threshold_5_absolute_net_benefit', 'threshold_5_treat_all_net_benefit', 'threshold_5_incremental_net_benefit_vs_better_default', 'threshold_10_alerts', 'threshold_10_alerts_per_1000', 'threshold_10_true_positives_per_1000', 'threshold_10_false_positives_per_1000', 'threshold_10_sensitivity', 'threshold_10_positive_predictive_value', 'threshold_10_false_positives_per_true_positive', 'threshold_10_absolute_net_benefit', 'threshold_10_treat_all_net_benefit', 'threshold_10_incremental_net_benefit_vs_better_default', 'threshold_20_alerts', 'threshold_20_alerts_per_1000', 'threshold_20_true_positives_per_1000', 'threshold_20_false_positives_per_1000', 'threshold_20_sensitivity', 'threshold_20_positive_predictive_value', 'threshold_20_false_positives_per_true_positive', 'threshold_20_absolute_net_benefit', 'threshold_20_treat_all_net_benefit', 'threshold_20_incremental_net_benefit_vs_better_default']"
43_SourceMNAR::all_values,pass,7 rows
43_SourceMNAR::filter_navigation_present,pass,freeze=A2; auto_filter=A1:BE8; table_filters=0; freeze panes are an advisory UI feature
43_SourceMNAR::header_style,pass,bold solid-fill headers
44_AuxOutcome::dimensions,pass,7x30
44_AuxOutcome::headers,pass,"['phase', 'evaluation_population', 'n', 'eligible_n', 'observed_events_unweighted', 'predicted_probability_min', 'predicted_probability_p01', 'predicted_probability_median', 'predicted_probability_p99', 'predicted_probability_max', 'observed_probability_min', 'observed_probability_median', 'observed_probability_max', 'unobserved_probability_min', 'unobserved_probability_median', 'unobserved_probability_max', 'diagnostic_role', 'weighted_n', 'events', 'event_rate', 'predicted_mean', 'oe_ratio', 'calibration_intercept', 'calibration_joint_intercept', 'calibration_slope', 'auroc', 'auprc', 'brier', 'brier_skill_score', 'grouped_absolute_calibration_error_10q']"
44_AuxOutcome::all_values,pass,6 rows
44_AuxOutcome::filter_navigation_present,pass,freeze=A2; auto_filter=A1:AD7; table_filters=0; freeze panes are an advisory UI feature
44_AuxOutcome::header_style,pass,bold solid-fill headers
45_SourcePreprocess::dimensions,pass,5x8
45_SourcePreprocess::headers,pass,"['feature', 'feature_type', 'preprocessor_training_population', 'preprocessor_training_n', 'imputation_value', 'standardization_mean', 'standardization_scale', 'spline_knot_vector_standardized']"
45_SourcePreprocess::all_values,pass,4 rows
45_SourcePreprocess::filter_navigation_present,pass,freeze=A2; auto_filter=A1:H5; table_filters=0; freeze panes are an advisory UI feature
45_SourcePreprocess::header_style,pass,bold solid-fill headers
46_Truncation::dimensions,pass,5x77
46_Truncation::headers,pass,"['weight_rule', 'is_canonical', 'source_preprocessor_training_n', 'update_alpha', 'update_beta', 'target_events', 'target_event_rate', 'target_predicted_mean', 'target_oe_ratio', 'target_calibration_intercept', 'target_calibration_joint_intercept', 'target_calibration_slope', 'target_auroc', 'target_auprc', 'target_brier', 'target_brier_skill_score', 'target_grouped_absolute_calibration_error_10q', 'source_raw_weight_min', 'source_raw_weight_p99', 'source_raw_weight_max', 'source_truncation_low', 'source_truncation_high', 'source_weight_min', 'source_weight_p99', 'source_weight_max', 'source_effective_sample_size', 'source_max_absolute_weighted_smd', 'update_raw_weight_min', 'update_raw_weight_p99', 'update_raw_weight_max', 'update_truncation_low', 'update_truncation_high', 'update_weight_min', 'update_weight_p99', 'update_weight_max', 'update_effective_sample_size', 'update_max_absolute_weighted_smd', 'target_raw_weight_min', 'target_raw_weight_p99', 'target_raw_weight_max', 'target_truncation_low', 'target_truncation_high', 'target_weight_min', 'target_weight_p99', 'target_weight_max', 'target_effective_sample_size', 'target_max_absolute_weighted_smd', 'threshold_5_alerts', 'threshold_5_alerts_per_1000', 'threshold_5_true_positives_per_1000', 'threshold_5_false_positives_per_1000', 'threshold_5_sensitivity', 'threshold_5_positive_predictive_value', 'threshold_5_false_positives_per_true_positive', 'threshold_5_absolute_net_benefit', 'threshold_5_treat_all_net_benefit', 'threshold_5_incremental_net_benefit_vs_better_default', 'threshold_10_alerts', 'threshold_10_alerts_per_1000', 'threshold_10_true_positives_per_1000', 'threshold_10_false_positives_per_1000', 'threshold_10_sensitivity', 'threshold_10_positive_predictive_value', 'threshold_10_false_positives_per_true_positive', 'threshold_10_absolute_net_benefit', 'threshold_10_treat_all_net_benefit', 'threshold_10_incremental_net_benefit_vs_better_default', 'threshold_20_alerts', 'threshold_20_alerts_per_1000', 'threshold_20_true_positives_per_1000', 'threshold_20_false_positives_per_1000', 'threshold_20_sensitivity', 'threshold_20_positive_predictive_value', 'threshold_20_false_positives_per_true_positive', 'threshold_20_absolute_net_benefit', 'threshold_20_treat_all_net_benefit', 'threshold_20_incremental_net_benefit_vs_better_default']"
46_Truncation::all_values,pass,4 rows
46_Truncation::filter_navigation_present,pass,freeze=A2; auto_filter=A1:BY5; table_filters=0; freeze panes are an advisory UI feature
46_Truncation::header_style,pass,bold solid-fill headers
47_MNARIntervals::dimensions,pass,217x14
47_MNARIntervals::headers,pass,"['stage_varied', 'estimator_family', 'reference_type', 'is_canonical', 'odds_multiplier', 'log_odds_shift', 'metric', 'estimate', 'ci_lower', 'ci_upper', 'bootstrap_replicates', 'bootstrap_unit', 'canonical_source', 'interpretation']"
47_MNARIntervals::all_values,pass,216 rows
47_MNARIntervals::filter_navigation_present,pass,freeze=A2; auto_filter=A1:N217; table_filters=0; freeze panes are an advisory UI feature
47_MNARIntervals::header_style,pass,bold solid-fill headers
48_VariableMap::dimensions,pass,32x5
48_VariableMap::headers,pass,"['dataset', 'analysis_variable', 'raw_field_or_table', 'derivation', 'analysis_use_or_note']"
48_VariableMap::all_values,pass,31 rows
48_VariableMap::filter_navigation_present,pass,freeze=A2; auto_filter=A1:E32; table_filters=0; freeze panes are an advisory UI feature
48_VariableMap::header_style,pass,bold solid-fill headers
49_VitalDB::dimensions,pass,3x17
49_VitalDB::headers,pass,"['cohort_label', 'model', 'n', 'events', 'interpretation', 'weighted_n', 'event_rate', 'predicted_mean', 'oe_ratio', 'calibration_intercept', 'calibration_joint_intercept', 'calibration_slope', 'auroc', 'auprc', 'brier', 'brier_skill_score', 'grouped_absolute_calibration_error_10q']"
49_VitalDB::all_values,pass,2 rows
49_VitalDB::filter_navigation_present,pass,freeze=A2; auto_filter=A1:Q3; table_filters=0; freeze panes are an advisory UI feature
49_VitalDB::header_style,pass,bold solid-fill headers
50_INSPIRECrLevels::dimensions,pass,22x5
50_INSPIRECrLevels::headers,pass,"['level_index', 'released_value_mg_dl', 'conservative_lower_mg_dl', 'conservative_upper_mg_dl', 'laboratory_rows']"
50_INSPIRECrLevels::all_values,pass,21 rows
50_INSPIRECrLevels::filter_navigation_present,pass,freeze=A2; auto_filter=A1:E22; table_filters=0; freeze panes are an advisory UI feature
50_INSPIRECrLevels::header_style,pass,bold solid-fill headers
51_MOVERCoarsening::dimensions,pass,22x4
51_MOVERCoarsening::headers,pass,"['bin_index', 'lower_cutpoint_mg_dl', 'upper_cutpoint_mg_dl', 'released_representative_mg_dl']"
51_MOVERCoarsening::all_values,pass,21 rows
51_MOVERCoarsening::filter_navigation_present,pass,freeze=A2; auto_filter=A1:D22; table_filters=0; freeze panes are an advisory UI feature
51_MOVERCoarsening::header_style,pass,bold solid-fill headers
